id;author_name
76;Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa
77;Oscar Wilde, Jeffrey Eugenides
78;Bram Stoker, Nina Auerbach, David J. Skal
79;Barbara Kingsolver
80;David Sedaris
81;Maurice Sendak
82;Alexandre Dumas, Robin Buss
83;Cormac McCarthy
84;Tina Fey
85;Sophie Kinsella
86;Victor Hugo, Lee Fahnestock, Norman MacAfee
87;Kim Edwards
88;Jojo Moyes
89;Joseph Heller
90;Mitch Albom, Saulius Dagys
91;Jeffrey Eugenides
92;Mark Twain, Guy Cardwell, John Seelye
93;Madeleine L'Engle
94;Amy Tan
95;Margaret Atwood
96;Ann Brashares
97;Vladimir Nabokov, Craig Raine
98;Gregory Maguire, Douglas Smith
99;Emma Donoghue
100;William Shakespeare, Richard Andrews, Rex Gibson
101;Frank Herbert
102;Malcolm Gladwell
103;Walter Isaacson
104;Ken Kesey
105;Ernest Hemingway
106;Mitch Albom
107;L.M. Montgomery
108;Rebecca Wells
109;Diana Gabaldon
110;Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym
111;Ransom Riggs
112;Andy Weir
113;Ken Follett
114;Anthony Doerr
115;Laura Hillenbrand
116;Donna Tartt
117;Jay Asher
118;Tracy Chevalier
119;Gayle Forman
120;Anita Diamant
121;William Shakespeare
122;Emily Giffin
123;Dr. Seuss, ×œ××” × ××•×¨
124;Roald Dahl, Quentin Blake
125;Charles Dickens
126;Albert Camus, Matthew    Ward
127;Rainbow Rowell
128;Ally Condie
129;Neil Gaiman
130;Stephen King, Bernie Wrightson
131;Jane Austen, Fiona Stafford
132;Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude
133;Anthony Burgess
134;William Paul Young
135;Fyodor Dostoyevsky, David McDuff
136;Sylvia Plath
137;Frank McCourt
138;Hermann Hesse, Hilda Rosner
139;Truman Capote
140;Kami Garcia, Margaret Stohl
141;Erin Morgenstern
142;Philippa Gregory
143;Scott Westerfeld
144;Cheryl Strayed
145;Alan Moore, Dave Gibbons, John Higgins
146;Patrick Rothfuss
147;Herman Melville, Andrew Delbanco, Tom Quirk
148;Mary Ann Shaffer, Annie Barrows
149;Chuck Palahniuk
150;Charlaine Harris
151;Alice Walker
152;John Grogan
153;Agatha Christie
154;Becca Fitzpatrick
155;Jamie McGuire
156;Anne Rice
157;Kiera Cass
158;Janet Evanovich
159;Rebecca Skloot
160;Thomas Harris
161;Richelle Mead
162;Ian McEwan
163;Franz Kafka, Stanley Corngold
164;Ernest Cline
165;Garth Stein
166;Erik Larson, Tony Goldwyn
167;Sylvia Day
168;C.S. Lewis, Pauline Baynes
169;Mark Cotta Vaz
170;Dave Pelzer
171;Robert Ludlum
172;Eoin Colfer
173;Lauren Kate
174;Emma McLaughlin, Nicola Kraus
175;Lewis Carroll, John Tenniel, Martin Gardner
176;Jane Austen, James Kinsley, Deidre Shauna Lynch
177;Tatiana de Rosnay
178;Gabriel GarcÃ­a MÃ¡rquez, Edith Grossman
179;Laurie Halse Anderson
180;Liane Moriarty
181;Augusten Burroughs
182;Max Brooks
183;James Patterson
184;Katherine Paterson
185;P.C. Cast, Kristin Cast
186;Stephen R. Covey
187;William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey
188;Jonathan Safran Foer
189;R.J. Palacio
190;Dr. Seuss
191;Marissa Meyer
192;Robert Galbraith, J.K. Rowling
193;Maggie Stiefvater
194;Ayn Rand, Leonard Peikoff
195;Greg Mortenson, David Oliver Relin
196;Jane Carruth, Lewis Carroll, Rene Cloke
197;Carlos Ruiz ZafÃ³n, Lucia Graves
198;Dale Carnegie
199;Frances Mayes
200;Gail Carson Levine
201;Betty  Smith
202;Kristin Hannah
203;Kazuo Ishiguro
204;Cecelia Ahern
205;Daphne du Maurier, Sally Beauman
206;Daniel Keyes
207;Laura Esquivel, Thomas  Christensen, Carol Christensen
208;Lisa See
209;Mario Puzo, Robert Thompson, Peter Bart
210;Isaac Asimov
211;John Tiffany, Jack Thorne, J.K. Rowling
212;Lauren Oliver
213;Terry Pratchett, Neil Gaiman
214;Jack Kerouac
215;Graeme Simsion
216;Tom Clancy
217;Richard Adams
218;Mindy Kaling
219;Abraham Verghese
220;Robert Louis Stevenson
221;Eric Carle
222;H.G. Wells, Greg Bear, Carlo Pagetti
223;Todd Burpo, Lynn Vincent
224;John Boyne
225;Joseph Conrad
226;Rhonda Byrne
227;Wally Lamb
228;Jennifer Weiner
229;Colleen McCullough
230;Neil Gaiman, Dave McKean
231;M.L. Stedman
232;Cornelia Funke, Anthea Bell
233;Spencer Johnson, Kenneth H. Blanchard
234;Bill Bryson
235;Maya Angelou
236;Christina Baker Kline
237;Maria Semple
238;Wilson Rawls
239;Milan Kundera, Michael Henry Heim
240;John Irving
241;Janet Fitch
242;Marie Lu
243;Randy Pausch, Jeffrey Zaslow
244;Robert Jordan
245;Lisa Genova
246;David Nicholls
247;Margaret Wise Brown, Clement Hurd
248;Pittacus Lore
249;Homer, Robert Fagles, FrÃ©dÃ©ric Mugler, Bernard Knox
250;J.K. Rowling
251;L. Frank Baum, W.W. Denslow
252;E. Lockhart
253;Hunter S. Thompson, Ralph Steadman
254;Amy Poehler
255;Toni Morrison
256;Kristin Cashore
257;Lemony Snicket, Brett Helquist
258;Erich Maria Remarque, A.W. Wheen
259;Philip K. Dick, Roger Zelazny
260;Charles Dickens, George Cruikshank, Philip Horne
261;Stephanie Perkins
262;Alan Moore, David   Lloyd
263;David McCullough
264;Dean Koontz
265;Jerry Spinelli
266;Robert A. Heinlein
267;Jack London
268;Jhumpa Lahiri
269;Deborah Harkness
270;Haruki Murakami, Jay Rubin
271;Billie Letts
272;John Green, David Levithan
273;James Frey
274;Susan Cain
275;Scott O'Dell
276;Arthur Miller, Christopher Bigsby
277;Gary Paulsen
278;Brandon Sanderson
279;Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon
280;Jeff Kinney
281;Sarah J. Maas
282;Jamie Ford
283;Patrick SÃ¼skind, John E. Woods
284;Eric Schlosser
285;William Gibson
286;Edgar Allan Poe
287;Sun Tzu, Thomas Cleary
288;William Landay
289;Betty Edwards
290;Ann Patchett
291;Jared Diamond
292;Fannie Flagg
293;Chinua Achebe
294;Gary Chapman
295;Alexandre Dumas
296;Chris Cleave
297;Alyson Noel
298;Diane Setterfield
299;Paula McLain
300;Umberto Eco, William Weaver, SeÃ¡n Barrett
301;Beatrice Sparks, Anonymous
302;John Kennedy Toole, Walker Percy
303;Oscar Wilde
304;Terry Pratchett
305;Haruki Murakami, Philip Gabriel
306;J.R. Ward
307;Arundhati Roy
308;Stephen Hawking, Cao Chi, Pháº¡m VÄƒn Thiá»u
309;Neal Stephenson
310;Sarah Dessen
311;A.A. Milne, Ernest H. Shepard
312;S.J. Watson
313;Arthur Conan Doyle
314;Rick Warren
315;Jim Butcher
316;Jane Austen, Alfred MacAdam
317;Rick Yancey
318;Charles Frazier
319;Laura Joffe Numeroff, Felicia Bond
320;Tennessee Williams
321;Elizabeth Kostova
322;Emily St. John Mandel
323;Fredrik Backman, Henning Koch
324;Pearl S. Buck
325;John Berger
326;Anonymous
327;Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming
328;Junot DÃ­az
329;Zora Neale Hurston
330;Newt Scamander, J.K. Rowling, Albus Dumbledore
331;Malala Yousafzai, Christina Lamb
332;Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont
333;Viktor E. Frankl
334;Tana French
335;Richard Dawkins
336;Lee Child
337;Daniel Defoe, Gerald McCann, Virginia Woolf
338;NiccolÃ² Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez
339;Terry Goodkind
340;Kathleen Grissom
341;Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky
342;Jeanne DuPrau
343;Kahlil Gibran
344;Art Spiegelman
345;Dave Eggers
346;Jean M. Auel
347;Anna Sewell
348;Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude
349;Bret Easton Ellis
350;Meg Cabot
351;Alexander McCall Smith
352;Robert Kirkman, Tony Moore
353;Arthur C. Clarke
354;Francine Rivers
355;Tim LaHaye, Jerry B. Jenkins
356;Barbara Ehrenreich
357;Patricia Cornwell
358;Corrie ten Boom, John Sherrill, Elizabeth Sherrill
359;Pat Conroy
360;Michael Chabon
361;Simone Elkeles
362;J.M. Barrie, Michael Hague
363;Michael Connelly
364;David Mitchell
365;Tim O'Brien
366;Banksy
367;Jeff Lindsay
368;Jonathan Swift, Robert DeMaria Jr.
369;William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson
370;Unknown, Seamus Heaney
371;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil
372;Laini Taylor
373;Victoria Aveyard
374;Charles Duhigg
375;John Berendt
376;Colleen Hoover
377;Frances Hodgson Burnett, Nancy Bond
378;Laura Ingalls Wilder, Garth Williams
379;Margery Williams Bianco, William   Nicholson
380;Robert M. Pirsig
381;H.G. Wells, Arthur C. Clarke
382;Sara Shepard
383;Don Freeman
384;Michael Pollan
385;Kate Atkinson
386;Kenneth Branagh, William Shakespeare
387;Thomas Hardy, Tim Dolin, Margaret R. Higonnet
388;Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall
389;Norton Juster, Jules Feiffer
390;Ned Vizzini
391;Vanessa Diffenbaugh
392;Frank Miller, Klaus Janson, Lynn Varley
393;Nick Hornby
394;John Gray
395;Anthony Bourdain
396;Voltaire
397;Natalie Babbitt
398;Stephen King, Marie Milpois
399;P.D. Eastman
400;E.H. Gombrich
401;Robert T. Kiyosaki
402;Lev Grossman
403;Tsugumi Ohba, Takeshi Obata
404;Libba Bray
405;Tammara Webber
406;Charles Dickens, Jeremy Tambling
407;Sherman Alexie, Ellen Forney
408;Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer
409;Ursula K. Le Guin
410;Kate DiCamillo, Chris Sheban
411;John Knowles
412;Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford
413;Robin Hobb
414;Beatrix Potter
415;Susanna Kaysen
416;Chelsea Handler
417;Richard Bach, Russell Munson
418;Robert Munsch, Sheila McGraw
419;Daniel James Brown
420;J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith
421;Kate Morton
422;Franz Kafka, Edwin Muir, Willa Muir, Max Brod
423;Piper Kerman
424;Arthur Conan Doyle, Anne Perry
425;Daniel Kahneman
426;Marion Zimmer Bradley
427;Judy Blume
428;Chris Bohjalian
429;Chris Van Allsburg
430;Jon Scieszka, Lane Smith
431;Paulo Coelho, Margaret Jull Costa
432;Sheryl Sandberg, Nell Scovell
433;Tahereh Mafi
434;Jostein Gaarder, Paulette MÃ¸ller
435;Jennifer Egan
436;Johanna Spyri, Angelo  Rinaldi, Beverly Cleary
437;Alex Flinn
438;Geoffrey Chaucer, Nevill Coghill
439;Haruki Murakami, Jay Rubin, Philip Gabriel
440;Harriet Beecher Stowe
441;Gaston Leroux, Alexander Teixeira de Mattos
442;JosÃ© Saramago, Giovanni Pontiero
443;Jonathan Franzen
444;Ally Carter
445;Aravind Adiga
446;Barack Obama
447;Judith Viorst, Ray Cruz
448;Howard Zinn
449;Justin Cronin
450;Celeste Ng
451;Isabel Allende, Magda Bogin
452;Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…
453;Chimamanda Ngozi Adichie
454;Christopher McDougall
455;Gabrielle Zevin
456;Ludwig Bemelmans
457;Napoleon Hill
458;Susanna Clarke
459;Michael  Grant
460;Jess Walter
461;Matthew Quick
462;Jules Verne, Anthony Bonner
463;Virginia Woolf, Maureen Howard
464;Jonas Jonasson, Rod Bradbury
465;Richard Bachman, Stephen King
466;Jules Verne, Michael Glencross, Brian W. Aldiss
467;Sharon Creech
468;Julie Powell
469;Neal Shusterman
470;Arthur Miller
471;Kate Egan
472;William Faulkner
473;Eckhart Tolle
474;Tite Kubo
475;Allie Brosh
476;Gregory David Roberts
477;Stephen King, Ned Dameron
478;Jeffery Deaver
479;Bernhard Schlink, Carol Brown Janeway
480;Bill Martin Jr., Eric Carle
481;Dan Simmons
482;William Peter Blatty
483;David Guterson
484;Alex Haley
485;Alan Moore, Brian Bolland, Tim Sale
486;Ralph Ellison
487;Ishmael Beah
488;Robert C. O'Brien
489;Melissa Bank
490;Hugh Howey
491;Christopher Moore
492;Jenny  Lawson
493;Scott Lynch
494;Garth Nix
495;Jennifer L. Armentrout
496;Bryan Lee O'Malley
497;Julie Kagawa
498;Larry McMurtry
499;Mary Roach
500;Thomas Keneally
501;Malcolm X, Alex Haley
502;Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger
503;Dennis Lehane
504;William Shakespeare, Roma Gill
505;Erik Larson
506;Plato, Desmond Lee
507;Patti Smith
508;Phaidon Press
509;Jane Green
510;Victor Hugo, Walter J. Cobb
511;Rohinton Mistry
512;Bill Watterson, G.B. Trudeau
513;Kate Chopin
514;Justin Halpern
515;Irvine Welsh, Eric Lindor Fall
516;Miguel Ruiz
517;Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern
518;E.L. Konigsburg
519;Samantha Young
520;Francis Chan, Danae Yankoski, Chris Tomlin
521;Helen Keller
522;Jonathan Tropper
523;Seth Grahame-Smith
524;Natsuki Takaya, Alethea Nibley, Athena Nibley
525;Stephen King, Dave McKean
526;Brian Selznick
527;Aldous Huxley, Christopher Hitchens
528;Bisco Hatori
529;Mary Kubica
530;Abbi Glines
531;Hilary Mantel
532;Diana Wynne Jones
533;Stephen King, William Olivier Desmond
534;Henry David Thoreau
535;Julian Barnes
536;Sue Grafton
537;Sophocles, J.E. Thomas
538;Kenneth Grahame, Gillian Avery
539;Jenny Han
540;Marjane Satrapi, Mattias Ripa
541;E.M. Forster
542;Kody Keplinger
543;J.D. Robb
544;Masashi Kishimoto, Katy Bridges
545;Rachel Joyce
546;David Levithan
547;William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine
548;James Clavell
549;Bill Martin Jr., John Archambault, Lois Ehlert
550;Raina Telgemeier
551;George Orwell, Christopher Hitchens
552;Jacquelyn Mitchard
553;Louise Rennison
554;Robin Sloan
555;V.C. Andrews
556;Paul Kalanithi, Abraham Verghese
557;Ellen Raskin
558;Pierce Brown
559;Brent Weeks
560;Sam McBratney, Anita Jeram
561;Stephen King, John D. MacDonald
562;Peter Benchley
563;Nicole Krauss
564;Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn
565;Muriel Barbery, Alison Anderson
566;Doris Kearns Goodwin, Suzanne Toren
567;Albert Camus, Stuart Gilbert
568;Susannah Cahalan
569;Melissa Marr
570;H.A. Rey
571;Michael Ende, Ralph Manheim, Roswitha Quadflieg
572;Sylvia Nasar
573;Upton Sinclair, Earl Lee, Kathleen DeGrave
574;Kelley Armstrong
575;Oliver Sacks
576;Andre Dubus III
577;M.R. Carey
578;Crockett Johnson
579;Hiromu Arakawa, Akira Watanabe
580;Joan Didion
581;Lionel Shriver
582;Edith Wharton, Maureen Howard
583;Geraldine Brooks
584;Ayn Rand
585;Sylvain Reynard
586;Judi Barrett, Ron Barrett
587;Helen Simonson
588;Nora Roberts
589;John Scalzi
590;Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker
591;Joe Haldeman
592;Stephen King, Bettina Blanch Tyroller
593;Azar Nafisi
594;Joe Abercrombie
595;Annie Proulx
596;Marie KondÅ, Cathy Hirano
597;Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ
598;Kathy Reichs
599;Michael Scott
600;Isabel Allende, Margaret Sayers Peden
601;Jessica Knoll
602;Ellen Hopkins
603;Richard Matheson
604;Elizabeth Strout
605;Lena Dunham, Joana Avillez
606;James C. Collins
607;Samuel Beckett
608;J.A. Redmerski
609;Kimberly McCreight
610;Michael Cunningham
611;Alice Clayton
612;Susan Ee
613;Richard Russo
614;Jandy Nelson
615;Catherine Hardwicke
616;Richard Feynman
617;James Joyce, Seamus Deane
618;Robert Jordan, Brandon Sanderson
619;George Eliot, Michel Faber
620;S.C. Stephens
621;Scott Turow
622;Stacy Schiff
623;Thomas L. Friedman
624;Marcus Pfister, J. Alison James
625;Jules Verne
626;Gretchen Rubin
627;Philip K. Dick
628;Vincent Bugliosi, Curt Gentry
629;Robert Kapilow, Dr. Seuss
630;Dante Alighieri, Anthony M. Esolen
631;Patricia Briggs
632;Melissa de la Cruz
633;Caleb Carr
634;Ta-Nehisi Coates
635;John Milton, John      Leonard
636;Michael   Lewis
637;Patrick Ness, Jim Kay, Siobhan Dowd
638;Frederick Forsyth
639;Jason Fried, David Heinemeier Hansson
640;Stephenie Meyer, Ilyana Kadushin, Matt Walters
641;Carol Rifka Brunt
642;James Herriot
643;Michelle Hodkin
644;Emmuska Orczy
645;Jon Stone, Michael J. Smollin
646;Leigh Bardugo
647;Herman Koch, Sam Garrett
648;Carl Sagan
649;Zadie Smith
650;Chris Kyle, Scott McEwen, Jim DeFelice
651;Meg Wolitzer
652;Bill Watterson
653;Better Homes and Gardens
654;Hermann Hesse, Basil Creighton
655;Tess Gerritsen
656;Kate DiCamillo, Timothy Basil Ering
657;Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser
658;Alan Bradley
659;Donald Miller
660;Brian K. Vaughan, Fiona Staples
661;Chad Harbach
662;Brandon Mull
663;Mildred D. Taylor
664;Seth Grahame-Smith, Jane Austen
665;Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky
666;Aziz Ansari, Eric Klinenberg
667;Katherine Applegate, Patricia Castelao
668;Sebastian Junger
669;Patrick Ness
670;Jim Fergus
671;Stephen King, Darrel Anderson
672;Salman Rushdie
673;Margaret Peterson Haddix
674;Elizabeth George Speare
675;Wilkie Collins, Matthew Sweet
676;James McBride
677;Karen Marie Moning
678;William Makepeace Thackeray, John Carey
679;Stephen King, Dominique Dill
680;Cynthia D'Aprix Sweeney
681;Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean
682;David    Allen
683;James Redfield
684;Huntley Fitzpatrick
685;Virginia Woolf
686;Chetan Bhagat
687;Laurell K. Hamilton
688;Thomas Hardy, Rosemarie Morgan, Shannon Russell
689;Mark Z. Danielewski
690;Willa Cather
691;Susan Beth Pfeffer
692;Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms
693;Don Piper, Cecil Murphey
694;Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe
695;Jeffrey Archer
696;Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter
697;Friedrich Nietzsche, Walter Kaufmann
698;Elizabeth Gaskell, Alan Shelston
699;Jaycee Dugard
700;Amish Tripathi
701;Aesop, Laura Harris, Laura Gibbs
702;Matsuri Hino, Tomo Kimura
703;Anne McCaffrey, Teodor PanasiÅ„ski
704;John D. Rateliff, J.R.R. Tolkien
705;Joanne Harris
706;Jay Anson
707;Michael Ondaatje
708;James Joyce, Jeri Johnson
709;Colum McCann
710;Harlan Coben
711;Rachel Hawkins
712;Austin Kleon
713;Christina Lauren
714;Joyce Carol Oates
715;Scott McCloud
716;Jon Ronson
717;David Baldacci
718;Jonathan Stroud
719;Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell
720;Kenneth H. Blanchard, Spencer Johnson
721;Leon Uris
722;Ursula Hegi
723;Raymond Chandler
724;Ellen DeGeneres
725;Eowyn Ivey
726;J. Lynn, Jennifer L. Armentrout
727;Dante Alighieri, Allen Mandelbaum, Eugenio Montale
728;Benjamin Hoff, Ernest H. Shepard
729;Sarah Dunant
730;David Lagercrantz, Stieg Larsson, George Goulding
731;Emma Cline
732;Shannon Hale
733;Isaac Marion
734;Mark Twain, Everett H. Emerson
735;Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´
736;Hajime Isayama, Sheldon Drzka
737;Olive Ann Burns
738;Elena Ferrante, Ann Goldstein
739;Timothy Ferriss
740;Robin S. Sharma
741;Amor Towles
742;Larry Niven
743;Ruta Sepetys
744;Andrew Clements, Brian Selznick
745;Louise Erdrich
746;Hanya Yanagihara
747;Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.
748;Anne Tyler, Jennifer Bassett
749;Benjamin Alire SÃ¡enz
750;H.G. Wells
751;Haruki Murakami, Alfred Birnbaum
752;Johann David Wyss, Scott McKowen, Arthur Pober
753;Jennifer Probst
754;Watty Piper, Doris Hauman, George Hauman
755;Karen Joy Fowler
756;James Joyce
757;Alan Brennert
758;Frank E. Peretti
759;Jessica Sorensen
760;Lauren Groff
761;E.B. White, Garth Williams
762;Brian Greene
763;Janell Cannon
764;Nancy Horan
765;Janet Evanovich, Lorelei King
766;Flora Rheta Schreiber
767;Rosamunde Pilcher
768;Ronald Holt, Arthur Conan Doyle
769;Bill O'Reilly, Martin Dugard
770;John Flanagan
771;Ira Levin
772;Stephen King, Peter Straub
773;Katherine Boo
774;P.L. Travers, Mary Shepard
775;Sandra Cisneros
776;David Benioff
777;Jeaniene Frost
778;James Patterson, Peter de Jonge
779;James S.A. Corey
780;Ezra Jack Keats
781;Richard   Preston
782;Lynne Truss
783;Kim Harrison
784;Clement C. Moore, Jan Brett
785;Cynthia Hand
786;Lee Strobel
787;Carl Hiaasen
788;Virgil, Robert Fitzgerald
789;Daniel Quinn
790;Katie McGarry
791;Kennilworthy Whisp, J.K. Rowling
792;Harry Allard, James  Marshall
793;Stephen King, Jerry N. Uelsmann
794;Trenton Lee Stewart, Carson Ellis
795;Christopher Hitchens
796;Jennifer E. Smith
797;Tom Robbins
798;Jenna Blum
799;Beth Revis
800;M. Scott Peck
801;Gertrude Chandler Warner, L. Kate Deal
802;A.S.A. Harrison
803;Caitlin Moran
804;Keith Richards
805;Anita Shreve
806;Don DeLillo
807;Stephen E. Ambrose
808;Charles Darwin
809;Craig Thompson
810;David Wroblewski
811;Christina Schwarz
812;Charles Bukowski
813;Arthur Conan Doyle, Kyle Freeman
814;EiichirÅ Oda, Andy Nakatani
815;Peter S. Beagle
816;Angie Sage
817;Rudyard Kipling
818;Terry Hayes
819;Allen Ginsberg, William Carlos Williams
820;Richard Carlson
821;Adam Mansbach, Ricardo CortÃ©s
822;TÃ©a Obreht
823;Maria V. Snyder
824;Anonymous, Joseph Smith Jr.
825;Karin Slaughter
826;Yana Toboso, Tomo Kimura
827;Robert Louis Stevenson, Robert Mighall
828;Emily Seife
829;Peter V. Brett
830;John Bunyan
831;Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus
832;Carson McCullers
833;T.H. White
834;Christopher Paul Curtis
835;Alison Bechdel
836;Dan Ariely
837;Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯
838;Lynne Reid Banks
839;Jesse Andrews
840;Simon Winchester
841;James Patterson, Andrew Gross
842;Jasper Fforde
843;Faye Perozich, Anne Rice, John Bolton, Daerick GrÃ¶ss
844;Louis Sachar, Adam McCauley
845;Dalai Lama XIV, Howard C. Cutler
846;Anna Quindlen
847;L.J. Smith, Kevin Williamson, Julie Plec
848;Chuck Klosterman
849;Evelyn Waugh
850;Jessie Burton
851;Margaret Weis, Tracy Hickman
852;Julia Cameron
853;Joe Hill
854;Robert K. Massie
855;Marcus Luttrell, Patrick Robinson
856;Richard Wright
857;Veronica Rossi
858;Eric Ries
859;David Eddings
860;Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin
861;William L. Shirer
862;Jeff Smith, Steve Hamaker
863;Kami Garcia, Margaret Stohl, Paz Pruneda
864;Brian Jacques
865;Karl Marx, Friedrich Engels, Gareth Stedman Jones
866;Ruth Ware
867;James Fenimore Cooper
868;William Styron
869;Bruce H. Wilkinson
870;Karen Thompson Walker
871;Julia Child, Alex Prud'Homme
872;Wendelin Van Draanen
873;Travis Bradberry, Jean Greaves, Patrick Lencioni
874;Robert McCloskey
875;Douglas Preston, Lincoln Child
876;Robert Kirkman
877;Nicola Yoon, David Yoon
878;George Bernard Shaw
879;Louis de BerniÃ¨res
880;Adam Johnson
881;Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh
882;Chaim Potok
883;Irving Stone, ×©×ž×•××œ ×©× ×™×¦×¨
884;Peggy Parish, Fritz Siebel
885;Jodi Ellen Malpas
886;W. Bruce Cameron
887;Sabaa Tahir
888;Helene Wecker
889;Ø£Ø­Ù„Ø§Ù… Ù…Ø³ØªØºØ§Ù†Ù…ÙŠ, Ahlam Mosteghanemi
890;Charles Dickens, Nicola Bradbury, Hablot Knight Browne
891;Esphyr Slobodkina
892;Tamora Pierce
893;James Ellroy
894;Lewis Carroll, John Tenniel, Peter Glassman
895;Jung Chang
896;Guillermo del Toro, Chuck Hogan
897;Emily Dickinson, Thomas H. Johnson
898;Fred Gipson
899;Steve Martin
